
9	0.04
9	0.04
9	0.05
9	0.05
9	0.05
9	0.07
9	0.04
9	0.04
9	0.05
9	0.05
9	0.05
9	0.05
9	0.05
9	0.05
9	0.05
9	0.06
9	0.06
9	0.04
9	0.04
9	0.04
13	0.08
13	0.09
13	0.09
13	0.08
13	0.09
13	0.08
13	0.08
13	0.08
13	0.08
13	0.08
13	0.08
13	0.08
13	0.08
13	0.09
13	0.09
13	0.09
13	0.08
13	0.09
13	0.08
13	0.09
17	0.16
17	0.17
17	0.17
17	0.17
17	0.16
17	0.17
17	0.17
17	0.17
17	0.16
17	0.16
17	0.16
17	0.16
17	0.16
17	0.16
17	0.16
17	0.15
17	0.16
17	0.16
17	0.17
17	0.16
21	0.28
21	0.29
21	0.30
21	0.29
21	0.29
21	0.30
21	0.30
21	0.29
21	0.30
21	0.28
21	0.29
21	0.30
21	0.29
21	0.29
21	0.28
21	0.28
21	0.29
21	0.29
21	0.28
21	0.30
25	0.51
25	0.53
25	0.50
25	0.50
25	0.52
25	0.51
25	0.52
25	0.50
25	0.51
25	0.50
25	0.50
25	0.53
25	0.51
25	0.52
25	0.52
25	0.51
25	0.51
25	0.49
25	0.53
25	0.50
1	0.01
1	0.02
1	0.02
1	0.02
1	0.02
1	0.02
1	0.02
1	0.02
1	0.02
1	0.02
1	0.02
1	0.02
1	0.02
1	0.02
1	0.02
1	0.02
1	0.02
1	0.02
1	0.02
1	0.02
5	0.02
5	0.02
5	0.02
5	0.02
5	0.02
5	0.02
5	0.03
5	0.02
5	0.02
5	0.04
5	0.03
5	0.02
5	0.02
5	0.02
5	0.02
5	0.02
5	0.02
5	0.02
5	0.02
5	0.03
